epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.004,1.56795,4.49839,1.20614,0.00502,0.03412,0.00579,0.00111,0.92571,4.60634,0.93774,0.00014443,0.00014443,0.00014443
2,489.385,1.2436,3.17385,1.02581,0.01018,0.51099,0.08427,0.03751,0.8276,4.41418,0.90341,0.000294031,0.000294031,0.000294031
3,694.233,1.17254,2.71475,0.99954,0.00811,0.59193,0.09538,0.03414,0.77751,4.29339,0.89395,0.000437472,0.000437472,0.000437472
4,905.662,1.03522,2.43986,0.98175,0.00637,0.58362,0.07911,0.03783,0.77557,4.15769,0.89616,0.000574754,0.000574754,0.000574754
5,1104.74,1.0498,2.33789,0.98781,0.00913,0.76366,0.20983,0.14768,0.79427,3.89284,0.95146,0.000705876,0.000705876,0.000705876
6,1305.33,1.01271,2.28126,0.98509,0.00734,0.71352,0.24672,0.17918,0.83687,3.8724,0.99221,0.000830839,0.000830839,0.000830839
7,1510.71,0.98808,2.0663,0.9817,0.49705,0.06616,0.35954,0.23416,0.85706,3.42837,0.98636,0.000949643,0.000949643,0.000949643
8,1713.08,1.00943,1.92764,0.97449,0.47238,0.5709,0.49626,0.37042,0.82049,2.67232,0.96429,0.000957015,0.000957015,0.000957015
9,1914.43,0.95024,1.86723,0.96018,0.43996,0.73522,0.53572,0.39046,0.79419,2.48416,0.95762,0.000935018,0.000935018,0.000935018
10,2115.17,0.98505,1.85993,0.97003,0.51694,0.78215,0.61124,0.45286,0.82121,2.23434,0.95438,0.00091302,0.00091302,0.00091302
11,2318.81,0.90791,1.70322,0.93463,0.4354,0.73069,0.61518,0.47233,0.76948,2.0744,0.96187,0.000891022,0.000891022,0.000891022
12,2518.93,0.90452,1.68023,0.96239,0.50207,0.7706,0.65698,0.52116,0.71005,1.9226,0.93999,0.000869024,0.000869024,0.000869024
13,2718.77,0.85287,1.61543,0.93677,0.58539,0.81744,0.68881,0.54569,0.73617,1.83341,0.91906,0.000847026,0.000847026,0.000847026
14,2920.82,0.87074,1.58347,0.9418,0.58855,0.79865,0.74148,0.60269,0.68554,1.77336,0.9192,0.000825029,0.000825029,0.000825029
15,3119.36,0.85201,1.46645,0.94854,0.61259,0.79424,0.73707,0.60345,0.65793,1.71788,0.9406,0.000803031,0.000803031,0.000803031
16,3319.96,0.81662,1.44947,0.95039,0.66062,0.80471,0.80024,0.65756,0.64857,1.66184,0.94269,0.000781033,0.000781033,0.000781033
17,3517.59,0.81695,1.38808,0.92549,0.67721,0.81416,0.79793,0.66048,0.62833,1.53895,0.90868,0.000759035,0.000759035,0.000759035
18,3716.65,0.8062,1.38826,0.92417,0.78354,0.81881,0.88031,0.73087,0.64401,1.45567,0.92144,0.000737037,0.000737037,0.000737037
19,3918.48,0.77088,1.32481,0.91986,0.68938,0.83606,0.85853,0.7103,0.64068,1.49654,0.9195,0.00071504,0.00071504,0.00071504
20,4116.5,0.76327,1.32272,0.91122,0.77293,0.86757,0.88408,0.72743,0.61947,1.37729,0.91027,0.000693042,0.000693042,0.000693042
21,4314.04,0.75011,1.21003,0.92151,0.78747,0.82583,0.88485,0.74031,0.5966,1.36976,0.9005,0.000671044,0.000671044,0.000671044
22,4513.21,0.77368,1.20683,0.91503,0.74898,0.83978,0.8955,0.75516,0.5945,1.36976,0.90133,0.000649046,0.000649046,0.000649046
23,4710.74,0.77033,1.16562,0.90998,0.79918,0.82148,0.90145,0.76786,0.59169,1.22563,0.90024,0.000627048,0.000627048,0.000627048
24,4910.39,0.73628,1.16984,0.92128,0.81557,0.83697,0.92841,0.79713,0.57354,1.25257,0.91328,0.000605051,0.000605051,0.000605051
25,5106.02,0.72851,1.09063,0.91534,0.86258,0.85655,0.93021,0.79826,0.54996,1.14056,0.89654,0.000583053,0.000583053,0.000583053
26,5302.5,0.72116,1.01075,0.89886,0.8589,0.89904,0.95011,0.81468,0.5712,1.08215,0.91851,0.000561055,0.000561055,0.000561055
27,5499.53,0.6978,1.03483,0.90325,0.91079,0.91626,0.95678,0.81911,0.55158,1.08314,0.88693,0.000539057,0.000539057,0.000539057
28,5692.89,0.71185,1.03574,0.91032,0.8915,0.85689,0.94523,0.81082,0.58917,1.08086,0.92424,0.000517059,0.000517059,0.000517059
29,5887.05,0.67988,1.00216,0.89843,0.85216,0.88555,0.94941,0.81749,0.53659,1.07237,0.89107,0.000495062,0.000495062,0.000495062
30,6081.22,0.70134,0.96651,0.89453,0.84524,0.89826,0.96293,0.82189,0.54393,1.07726,0.90409,0.000473064,0.000473064,0.000473064
31,6278.69,0.71613,0.96384,0.90704,0.91168,0.90586,0.9726,0.83822,0.54539,0.96571,0.89088,0.000451066,0.000451066,0.000451066
32,6474.64,0.74764,0.99462,0.90212,0.89596,0.88879,0.961,0.83638,0.53742,1.01442,0.88722,0.000429068,0.000429068,0.000429068
33,6670.26,0.67434,0.90901,0.88827,0.8377,0.92864,0.96882,0.85072,0.50369,0.9477,0.87914,0.00040707,0.00040707,0.00040707
34,6866.28,0.67753,0.89888,0.87991,0.93331,0.95087,0.97553,0.8512,0.53278,0.90399,0.88473,0.000385073,0.000385073,0.000385073
35,7059.23,0.63435,0.91451,0.89505,0.92482,0.90961,0.9778,0.86342,0.49174,0.90432,0.87235,0.000363075,0.000363075,0.000363075
36,7253.38,0.65801,0.86364,0.89342,0.90827,0.95048,0.98127,0.86748,0.49151,0.84757,0.87853,0.000341077,0.000341077,0.000341077
37,7448.8,0.66008,0.87461,0.88154,0.95201,0.9474,0.98457,0.8723,0.48441,0.8543,0.87129,0.000319079,0.000319079,0.000319079
38,7643.54,0.66834,0.8709,0.88213,0.95905,0.95159,0.98411,0.87175,0.48534,0.8172,0.87015,0.000297081,0.000297081,0.000297081
39,7843.16,0.64767,0.8181,0.88044,0.9389,0.95162,0.98583,0.88167,0.47509,0.81391,0.86905,0.000275084,0.000275084,0.000275084
40,8042.69,0.61514,0.8196,0.87884,0.94813,0.9322,0.98457,0.88593,0.47077,0.82686,0.87064,0.000253086,0.000253086,0.000253086
41,8237.82,0.55052,0.82433,0.87751,0.93738,0.97015,0.98607,0.88092,0.4607,0.78838,0.86515,0.000231088,0.000231088,0.000231088
42,8432.05,0.56887,0.81107,0.86005,0.96069,0.95442,0.98499,0.88114,0.46044,0.75786,0.86173,0.00020909,0.00020909,0.00020909
43,8630.22,0.55871,0.77379,0.87721,0.94468,0.94275,0.98453,0.88813,0.45642,0.76918,0.86209,0.000187092,0.000187092,0.000187092
44,8825.01,0.5428,0.73237,0.87113,0.96073,0.96416,0.98915,0.88606,0.46639,0.73435,0.86465,0.000165095,0.000165095,0.000165095
45,9017.26,0.53891,0.7793,0.86436,0.97036,0.96139,0.98959,0.8888,0.45413,0.73037,0.85975,0.000143097,0.000143097,0.000143097
46,9212.35,0.54529,0.7271,0.85607,0.9519,0.97504,0.98977,0.89109,0.45544,0.73708,0.86562,0.000121099,0.000121099,0.000121099
47,9405.44,0.5271,0.72487,0.86843,0.95483,0.95348,0.98882,0.89492,0.45129,0.73048,0.86196,9.91012e-05,9.91012e-05,9.91012e-05
48,9603,0.50905,0.69966,0.86128,0.96107,0.96879,0.99044,0.89809,0.43889,0.69683,0.8555,7.71034e-05,7.71034e-05,7.71034e-05
49,9796.28,0.49616,0.68839,0.86042,0.97013,0.96496,0.99125,0.89953,0.43605,0.69538,0.85532,5.51056e-05,5.51056e-05,5.51056e-05
